center,name,betweenness,throughput,clustering,out_delay_ratio,hub_sla_contrib,out_trips,structural_risk
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),0.24236101989287331,1991,0.03715846994535519,1.9100257069408741,397545.0,1063,1.0
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),0.12712538494096357,1433,0.05357142857142857,1.7441352973267867,151173.0,768,0.9936974789915967
IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),0.04993578236058205,1404,0.06156156156156156,2.25,172662.0,821,0.9852941176470589
IND712311AAA,Kolkata_Dankuni_HB (West Bengal),0.08101274136345725,481,0.0392156862745098,2.590808734906756,61502.0,262,0.9852941176470589
IND501359AAE,Hyderabad_Shamshbd_H (Telangana),0.08650261978778989,734,0.042682926829268296,1.896551724137931,56352.0,329,0.9852941176470589
IND411033AAA,Pune_Tathawde_H (Maharashtra),0.05120626997679408,733,0.06157635467980296,1.9705882352941178,68590.0,403,0.9831932773109244
IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),0.05306091918793876,801,0.03433001107419712,1.8785377358490565,39725.0,370,0.9726890756302521
IND110037AAM,Delhi_Airport_H (Delhi),0.04792022417794124,445,0.07056451612903226,2.0785361842105265,41339.0,256,0.9705882352941176
IND781018AAB,Guwahati_Hub (Assam),0.0439562444356875,180,0.03162055335968379,2.1430426716141002,51764.0,90,0.9663865546218487
IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),0.03266780507027453,266,0.0718954248366013,2.2058823529411766,30092.0,123,0.9495798319327731
IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),0.04467832800618825,541,0.05928853754940711,1.9402852049910875,21923.0,300,0.9495798319327731
IND131028AAB,Sonipat_Kundli_H (Haryana),0.047596216997241564,574,0.03870967741935484,1.8070175438596492,20878.0,245,0.9474789915966386
IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),0.037897893953325455,392,0.03463203463203463,1.9036697247706422,24727.0,220,0.9474789915966386
IND382430AAB,Ahmedabad_East_H_1 (Gujarat),0.03195009997518864,537,0.03985507246376811,1.9482001755926253,25307.0,280,0.9453781512605042
IND751002AAB,Bhubaneshwar_Hub (Orissa),0.016777223170891895,164,0.10833333333333334,2.0378071833648392,33180.0,79,0.9390756302521008
IND302014AAA,Jaipur_Hub (Rajasthan),0.04277588043843134,192,0.06666666666666667,1.9393837156995053,14267.0,96,0.9369747899159664
IND854326AAB,Purnia_Central_H_2 (Bihar),0.018994556095567525,132,0.15384615384615385,2.1850698174006444,23657.0,70,0.9348739495798319
IND842001AAA,Muzaffrpur_Bbganj_I (Bihar),0.0246986149422771,336,0.057971014492753624,2.2076779976323353,12722.0,178,0.9222689075630253
IND713205AAB,Durgapur_Central_I_1 (West Bengal),0.01442890085672169,104,0.054945054945054944,3.84,10800.0,45,0.9054621848739496
IND530012AAA,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),0.01852095100486011,138,0.054945054945054944,2.0,9044.0,71,0.9033613445378151
IND395023AAA,Surat_HUB (Gujarat),0.0091648787892056,174,0.16363636363636364,1.8980301274623406,39899.0,93,0.9012605042016807
IND306401AAB,Pali_Nayagaon_I (Rajasthan),0.011968562546521302,94,0.2,2.0525991792065663,9395.0,60,0.8865546218487395
IND580028AAA,Hubli_Adargchi_IP (Karnataka),0.013223725498781326,145,0.0989010989010989,1.9885057471264367,8384.0,78,0.8865546218487395
IND683511AAA,Aluva_Peedika_H (Kerala),0.022768801903177316,175,0.029411764705882353,1.4764254385964912,6527.0,86,0.8802521008403361
IND821115AAB,Sasaram_Central_I_2 (Bihar),0.011036677029058483,80,0.1388888888888889,2.0570085470085466,9475.0,32,0.8781512605042017
IND834002AAB,Ranchi_Hub (Jharkhand),0.006953383831749785,146,0.15555555555555556,2.435617469879518,21244.0,80,0.8592436974789917
IND416012AAA,Kolhapur_Shivaji_I (Maharashtra),0.009884408249047683,92,0.1111111111111111,1.9166666666666667,8293.0,47,0.8550420168067228
IND515004AAA,Anantapur_KamaStrt_I (Andhra Pradesh),0.012832581695053783,117,0.08888888888888889,1.763157894736842,5263.0,59,0.8508403361344539
IND313001AAB,Udaipur_Mangri_I (Rajasthan),0.008648948436154531,100,0.14285714285714285,2.1005291005291005,8899.0,53,0.8508403361344538
IND403726AAA,Goa_Hub (Goa),0.009993140388516718,86,0.1388888888888889,1.8227848101265822,7291.0,43,0.8487394957983193
IND518002AAA,Kurnool_AbbasNgr_I (Andhra Pradesh),0.010051155187763621,140,0.12121212121212122,1.6612903225806452,6258.0,74,0.842436974789916
IND521225AAB,Vijayawada_Rynapadu_H (Andhra Pradesh),0.01160405446823416,132,0.10256410256410256,1.7333333333333334,5343.0,71,0.842436974789916
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),0.00924369134667309,262,0.11666666666666667,1.935483870967742,6697.0,128,0.8361344537815126
IND573201AAB,Hassan_Pandrnga_I (Karnataka),0.011054555803669163,94,0.14285714285714285,2.4375,4930.0,45,0.8298319327731092
IND560300AAA,Bengaluru_KGAirprt_HB (Karnataka),0.0056354627318767605,609,0.21794871794871795,1.78,14195.0,331,0.8277310924369747
IND826004AAA,Dhanbad_Kalynpur_I (Jharkhand),0.011669001853554593,100,0.07692307692307693,1.7972027972027973,3588.0,37,0.8172268907563025
IND400072AAB,Mumbai Hub (Maharashtra),0.0052315483748558754,534,0.07692307692307693,2.764705882352941,10941.0,300,0.8172268907563025
IND842003AAB,Jabalpur_Adhartal_IP (Madhya Pradesh),0.01204773997694003,62,0.06060606060606061,2.310344827586207,3397.0,37,0.8109243697478992
IND211002AAB,Allahabad_Central_H_1 (Uttar Pradesh),0.008828830801115052,101,0.027777777777777776,2.5714285714285716,5236.0,49,0.8109243697478992
IND474003AAA,Gwalior_HrihrNgr_I (Madhya Pradesh),0.008231898652889064,83,0.10606060606060606,1.7055146091076598,5287.0,40,0.8109243697478992
IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),0.004715253148853569,820,0.1368421052631579,1.6295149638802888,18284.0,466,0.8088235294117647
IND263153AAB,Rudrapur_UdhamNgr_H (Uttarakhand),0.0072445524468380115,104,0.14545454545454545,1.8594788304537686,6131.0,56,0.8067226890756303
IND125001AAA,Hisar_ModelTwn_P (Haryana),0.005677058248317936,73,0.10606060606060606,2.1049009384775808,8258.0,46,0.8046218487394958
IND533106AAA,Rajamundry_AtoNgrRd_I (Andhra Pradesh),0.005648598158121343,101,0.15555555555555556,2.6379310344827585,7324.0,51,0.7983193277310925
IND444005AAB,Akola_Gaurkshn_I (Maharashtra),0.004433571230497541,72,0.1,2.3105185375570265,11120.0,26,0.796218487394958
IND788026AAC,Silchar_Sirikona_H (Assam),0.004841499189982048,57,0.19047619047619047,2.5214285714285714,7053.0,34,0.7794117647058824
IND152026AAA,Muktsar_DPC (Punjab),0.004080739086650028,72,0.19444444444444445,4.066666666666666,8867.0,37,0.7773109243697479
IND742101AAC,Baharampur_Chuanpur_I (West Bengal),0.008852182669994308,60,0.05454545454545454,2.6333333333333333,3208.0,26,0.773109243697479
IND273014AAB,Gorakhpur_Matriprm_IP (Uttar Pradesh),0.006115635535706467,93,0.0,2.3125,4775.0,45,0.7731092436974789
IND305001AAC,Ajmer_FoySGRRD_I (Rajasthan),0.010041303618080186,112,0.10714285714285714,2.0416666666666665,3117.0,45,0.7710084033613445
IND249407AAA,Haridwar (Uttarakhand),0.004033305602989039,103,0.2,2.3333436217167196,7497.0,54,0.7626050420168067
IND431136AAC,Aurangabad_Central_H_1 (Maharashtra),0.00564239531795029,107,0.047619047619047616,2.4075471698113207,4731.0,58,0.7605042016806722
IND742102AAB,Berhampore_Central_I_2 (West Bengal),0.005969686355211116,94,0.027777777777777776,2.3157894736842106,3583.0,41,0.7521008403361344
IND523002AAA,Ongole_SubhVRTL_I (Andhra Pradesh),0.00795641957470409,74,0.1388888888888889,1.6456692913385826,3120.0,39,0.75
IND121004AAB,FBD_Balabhgarh_DPC (Haryana),0.00483894507932338,314,0.05555555555555555,1.9166666666666667,4830.0,169,0.7478991596638656
IND413002AAA,Solapur_Central_I_2 (Maharashtra),0.0036056745041376593,109,0.26666666666666666,1.7788104089219332,8484.0,58,0.7478991596638656
IND786001AAB,Dibrugarh_Bokule_H (Assam),0.012028401710524396,80,0.10606060606060606,2.267560664112388,2115.0,42,0.7436974789915967
IND532001AAB,Srikakulam_Kuslpram_I (Andhra Pradesh),0.00724491731978925,119,0.17857142857142858,2.0719305794607,3036.0,64,0.7373949579831933
IND244901AAB,Rampur_RoshnBgh_I (Uttar Pradesh),0.014027905483310711,131,0.08333333333333333,1.192,1888.0,67,0.7352941176470589
