source_center,destination_center,n_trips,w_median,w_mean,w_p90,med_actual,med_osrm,med_excess,med_dist,sla_breach_contrib,state_src,state_dst,src,dst
IND000000ACB,IND562132AAA,66,1.89917005272482,1.919783873866053,2.0626647106962297,2865.5,1509.0,1356.0,1689.7843255878354,89496.0,Haryana,Karnataka,Gurgaon_Bilaspur_HB (Haryana),Bangalore_Nelmngla_H (Karnataka)
IND562132AAA,IND000000ACB,44,1.8145478374836173,1.8160370518533036,1.923693814080861,2771.0,1530.0,1243.0,1690.0705908024886,54692.0,Karnataka,Haryana,Bangalore_Nelmngla_H (Karnataka),Gurgaon_Bilaspur_HB (Haryana)
IND000000ACB,IND712311AAA,48,2.032003219425158,2.141213485571652,2.370131798828778,2063.5,1016.0,1048.0,1300.6852711891374,50304.0,Haryana,West Bengal,Gurgaon_Bilaspur_HB (Haryana),Kolkata_Dankuni_HB (West Bengal)
IND781018AAB,IND110037AAM,17,2.5298563869992443,2.5472694744100446,2.590286482722186,3347.0,1323.0,2024.0,1463.0378614931894,34408.0,Assam,Delhi,Guwahati_Hub (Assam),Delhi_Airport_H (Delhi)
IND000000ACB,IND501359AAE,29,1.909871244635193,1.977511750940547,2.2348793167036454,2229.0,1165.0,1061.0,1236.4232853018336,30769.0,Haryana,Telangana,Gurgaon_Bilaspur_HB (Haryana),Hyderabad_Shamshbd_H (Telangana)
IND000000ACB,IND421302AAG,33,1.9273858921161824,1.9757656067441636,2.1056747319204345,1858.0,963.0,894.0,1078.168266456756,29502.0,Haryana,Maharashtra,Gurgaon_Bilaspur_HB (Haryana),Bhiwandi_Mankoli_HB (Maharashtra)
IND421302AAG,IND000000ACB,26,1.998452012383901,2.0212144678351995,2.169938016528926,1935.5,968.0,967.0,1078.1974680838616,25142.0,Maharashtra,Haryana,Bhiwandi_Mankoli_HB (Maharashtra),Gurgaon_Bilaspur_HB (Haryana)
IND421302AAG,IND110037AAM,19,2.0813492063492065,2.101789561470151,2.1590943414035584,2098.0,1007.0,1090.0,1114.1411615956738,20710.0,Maharashtra,Delhi,Bhiwandi_Mankoli_HB (Maharashtra),Delhi_Airport_H (Delhi)
IND854326AAB,IND000000ACB,18,2.1855343803149268,2.1907736631050714,2.371445549357264,2032.5,930.0,1102.5,1091.1461929071097,19845.0,Bihar,Haryana,Purnia_Central_H_2 (Bihar),Gurgaon_Bilaspur_HB (Haryana)
IND000000ACB,IND600056AAB,14,1.86055900621118,1.9359991784709067,2.0495635990937537,2995.5,1610.0,1385.5,1720.9827244874396,19397.0,Haryana,Tamil Nadu,Gurgaon_Bilaspur_HB (Haryana),MAA_Poonamallee_HB (Tamil Nadu)
IND421302AAG,IND562132AAA,30,1.857946273144485,1.8953828010525,2.154777557313954,1321.0,709.0,610.0,830.1436996913988,18300.0,Maharashtra,Karnataka,Bhiwandi_Mankoli_HB (Maharashtra),Bangalore_Nelmngla_H (Karnataka)
IND000000ACB,IND751002AAB,15,2.0403087478559176,2.065434082540078,2.237189374464439,2379.0,1167.0,1213.0,1269.6777189997588,18195.0,Haryana,Orissa,Gurgaon_Bilaspur_HB (Haryana),Bhubaneshwar_Hub (Orissa)
IND562132AAA,IND302014AAA,14,1.9447489506362587,1.956544097738156,1.967878491229686,2656.0,1366.0,1290.5,1532.488877837815,18067.0,Karnataka,Rajasthan,Bangalore_Nelmngla_H (Karnataka),Jaipur_Hub (Rajasthan)
IND110037AAM,IND421302AAG,18,1.9914744232698096,2.04111663995264,2.208323167701302,1985.5,997.0,988.5,1114.0513042377513,17793.0,Delhi,Maharashtra,Delhi_Airport_H (Delhi),Bhiwandi_Mankoli_HB (Maharashtra)
IND751002AAB,IND562132AAA,13,2.262511803588291,2.256427612799416,2.454924599434496,2396.0,1058.0,1337.0,1201.0269855631989,17381.0,Orissa,Karnataka,Bhubaneshwar_Hub (Orissa),Bangalore_Nelmngla_H (Karnataka)
IND000000ACB,IND411033AAA,22,1.7695691890617633,1.7690679513678942,1.8523762422872212,1785.5,1010.0,776.5,1119.604368071884,17083.0,Haryana,Maharashtra,Gurgaon_Bilaspur_HB (Haryana),Pune_Tathawde_H (Maharashtra)
IND562132AAA,IND751002AAB,15,2.0736137667304013,2.115616034228136,2.22906309751434,2169.0,1047.0,1123.0,1201.1728555987831,16845.0,Karnataka,Orissa,Bangalore_Nelmngla_H (Karnataka),Bhubaneshwar_Hub (Orissa)
IND395023AAA,IND562132AAA,20,1.9403606604866743,1.929008528316719,2.0942062572421785,1675.5,863.0,812.0,1015.0006841443752,16240.0,Gujarat,Karnataka,Surat_HUB (Gujarat),Bangalore_Nelmngla_H (Karnataka)
IND000000ACB,IND842001AAA,19,2.047425474254742,2.0498120571104383,2.1169271896246777,1509.0,737.0,773.0,872.6505724178528,14687.0,Haryana,Bihar,Gurgaon_Bilaspur_HB (Haryana),Muzaffrpur_Bbganj_I (Bihar)
IND847226AAA,IND842001AAA,21,8.976190476190476,8.884306452570755,9.416666666666666,754.0,84.0,670.0,93.09268545833294,14070.0,Bihar,Bihar,Jaynagar_Wardno6_D (Bihar),Muzaffrpur_Bbganj_I (Bihar)
IND421302AAG,IND712311AAA,9,2.1157742402315485,2.1194443514978807,2.1381546807424945,2924.0,1382.0,1542.0,1628.7052495779214,13878.0,Maharashtra,West Bengal,Bhiwandi_Mankoli_HB (Maharashtra),Kolkata_Dankuni_HB (West Bengal)
IND160002AAC,IND000000ACB,66,1.990543682375033,2.135520403821201,2.6587677725118484,421.0,211.0,209.5,236.91423055282115,13827.0,Punjab,Haryana,Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana)
IND425405AAA,IND424006AAA,14,21.232475598935224,19.072080363345687,22.758260869565216,1035.0,48.0,986.5,56.08603932767024,13811.0,Maharashtra,Maharashtra,Shirpur_KrantiNgr_D (Maharashtra),Dhule_MIDCAvdn_I (Maharashtra)
IND462022AAA,IND000000ACB,26,1.9131577857823048,1.9734659941032784,2.221616321273856,1113.0,584.0,531.0,562.2511395008444,13806.0,Madhya Pradesh,Haryana,Bhopal_Trnsport_H (Madhya Pradesh),Gurgaon_Bilaspur_HB (Haryana)
IND501359AAE,IND462022AAA,20,2.0983676339946697,2.095631887303382,2.2798045602605868,1290.5,614.0,675.5,674.1344803356676,13510.0,Telangana,Madhya Pradesh,Hyderabad_Shamshbd_H (Telangana),Bhopal_Trnsport_H (Madhya Pradesh)
IND000000ACB,IND521225AAB,11,1.9508580343213728,1.970640306516392,2.0366328916601715,2501.0,1282.0,1219.0,1366.6659387890777,13409.0,Haryana,Andhra Pradesh,Gurgaon_Bilaspur_HB (Haryana),Vijayawada_Rynapadu_H (Andhra Pradesh)
IND421302AAG,IND131028AAB,14,1.9119395657329183,1.910950275773708,1.9940358677930927,1986.5,1038.0,947.5,1148.808809251109,13265.0,Maharashtra,Haryana,Bhiwandi_Mankoli_HB (Maharashtra),Sonipat_Kundli_H (Haryana)
IND000000ACB,IND160002AAC,58,2.082938388625593,2.1795521741429,2.8659505499418767,439.5,211.0,228.5,236.9983542410434,13253.0,Haryana,Punjab,Gurgaon_Bilaspur_HB (Haryana),Chandigarh_Mehmdpur_H (Punjab)
IND421302AAG,IND501359AAE,24,1.9865462700205272,1.9935434017478488,2.1535293129948463,1107.5,557.0,550.0,607.3802792668391,13200.0,Maharashtra,Telangana,Bhiwandi_Mankoli_HB (Maharashtra),Hyderabad_Shamshbd_H (Telangana)
IND212402AAA,IND211002AAB,13,29.13888888888889,29.003003003003,30.61651651651652,1049.0,36.0,1013.0,41.5972006730012,13169.0,Uttar Pradesh,Uttar Pradesh,Phulpur_Shekhpur_D (Uttar Pradesh),Allahabad_Central_H_1 (Uttar Pradesh)
IND411033AAA,IND000000ACB,18,1.717885375494071,1.739738600475282,1.8394352913552223,1738.5,1013.0,726.5,1120.4513245803687,13077.0,Maharashtra,Haryana,Pune_Tathawde_H (Maharashtra),Gurgaon_Bilaspur_HB (Haryana)
