center,name,throughput,out_delay_ratio,lat,lon
IND713205AAB,Durgapur_Central_I_1,104,3.84,23.4278,87.7677
IND221313AAA,Varanasi_Central_H_4,21,4.354838709677419,25.365075,82.864975
IND152026AAA,Muktsar_DPC,72,4.066666666666666,30.4082,74.49195999999999
IND721102AAA,Midnapore_Talkui_D,18,7.9,22.4617,87.1485
IND712311AAA,Kolkata_Dankuni_HB,481,2.590808734906756,22.6685,88.291
IND221010AAB,Varanasi_MahmurGj_IP,7,9.767857142857142,25.3076,82.9933
IND400072AAB,Mumbai Hub,534,2.764705882352941,18.9808,72.8338
IND249201AAA,Rishikesh_DC,43,6.555555555555555,30.1078,78.2925
IND342301AAA,Phalodi_PalikDPP_D,30,5.859375,27.21655,72.27787083333334
IND416404AAA,Jath_Shivprsad_D,15,4.81,17.084363636363637,75.22830454545455
IND533106AAA,Rajamundry_AtoNgrRd_I,101,2.6379310344827585,17.4131,82.239
IND211002AAB,Allahabad_Central_H_1,101,2.571428571428572,25.49320909090909,81.8796
IND786181AAC,Margherita_CivilHPL_D,59,3.676797194623028,27.541875,95.6316875
IND742101AAC,Baharampur_Chuanpur_I,60,2.6333333333333333,24.1107,88.0112
IND712310AAE,Kolkata_North_I_4,88,3.1558704453441297,22.6685,88.291
IND500039AAC,Hyderabad_Uppal_I,84,2.998768472906404,17.27435,78.4442
IND834002AAB,Ranchi_Hub,146,2.435617469879518,23.3853,85.2923
IND573201AAB,Hassan_Pandrnga_I,94,2.4375,13.0269,76.1011
IND788026AAC,Silchar_Sirikona_H,57,2.521428571428572,24.8352,92.7158
IND431517AAB,Ambajogai_BnsllNgr_D,26,2.768272113943029,18.83758,76.074985
IND421302AAG,Bhiwandi_Mankoli_HB,1404,2.25,19.222834782608697,73.22239565217392
IND847223AAA,Benipatti_WardNo1_D,23,10.296875,26.38978947368421,86.20636842105263
IND431136AAC,Aurangabad_Central_H_1,107,2.4075471698113207,20.0291,75.2816
IND462022AAA,Bhopal_Trnsport_H,266,2.2058823529411766,23.478,77.3961
IND274301AAB,Kaptanganj_Subshngr_D,31,4.711711711711712,26.853007142857145,83.73087857142858
IND842003AAB,Jabalpur_Adhartal_IP,62,2.310344827586207,26.1511,85.3308
IND842001AAA,Muzaffrpur_Bbganj_I,336,2.2076779976323357,26.1511,85.3308
IND221706AAA,Ratanpura_MubarDPP_D,18,3.963414634146341,25.96224615384616,83.70443846153846
IND732103AAB,Malda_Central_I_3,24,3.7777777777777777,25.1367,88.0923
IND854326AAB,Purnia_Central_H_2,132,2.1850698174006444,25.7807125,87.5777875
IND444005AAB,Akola_Gaurkshn_I,72,2.3105185375570265,20.7494,77.054
IND700053AAA,CCU_New Alipore_DPC,41,2.7103448275862068,22.5246,88.3317
IND781018AAB,Guwahati_Hub,180,2.1430426716141,26.118,91.4061
IND411014AAA,PNQ Vadgaon Sheri DPC,76,3.690981432360743,18.5685,73.9158
IND273014AAB,Gorakhpur_Matriprm_IP,93,2.3125,26.7339,83.3717
IND249407AAA,Haridwar,103,2.33334362171672,29.857333333333333,77.99329999999999
IND742102AAB,Berhampore_Central_I_2,94,2.3157894736842106,24.110700000000005,88.0112
IND421302AAR,Mumbai_East_I_21,134,3.4,19.222834782608697,73.22239565217392
IND756100AAC,Bhadrak_Central_I_2,44,2.290909090909091,20.9859,86.6254
IND110037AAM,Delhi_Airport_H,445,2.0785361842105265,28.547980000000003,77.11330000000001
IND486661AAA,Sidhi_Padra_D,11,5.294573643410852,24.23209545454545,81.79641363636364
IND583101AAA,Bellary_Dc,49,2.488888888888889,15.1368,76.9275
IND570020AAA,Mysore_Yadvgiri_IP,53,2.873809523809524,12.3537,76.5368
IND786001AAB,Dibrugarh_Bokule_H,80,2.267560664112388,27.3664,95.0562
IND212402AAA,Phulpur_Shekhpur_D,26,29.13888888888889,25.601,81.95225333333333
IND175015AAA,JognderNgr_Dhelu_D,24,7.263157894736842,31.823239130434786,76.85709565217392
IND742401AAA,Ghanashyampur_NditaDPP_D,23,3.060606060606061,23.7708,88.1021
IND794101AAA,Tura_Sracmplx_D,10,2.408805031446541,25.584,90.26349999999998
IND313001AAB,Udaipur_Mangri_I,100,2.1005291005291005,24.69862962962963,73.62725185185185
IND722151AAA,Simlapal_Central_D_1,17,15.060049019607844,23.12675625,87.13105
IND802212AAA,Bikramgang_Dehrird_D,12,23.73809523809524,25.18553157894737,84.2329
IND751002AAB,Bhubaneshwar_Hub,164,2.0378071833648392,20.09,85.5114
IND844505AAB,HazratJandaha_HajiprRD_D,30,11.778846153846152,25.738190476190475,85.3919
IND847404AAB,Jhanjharpur_Nagar_D,38,8.433677098150781,26.322294736842107,86.23372105263158
IND202001AAB,Aligarh_KhirByps_I,56,2.4423076923076925,27.9165,78.06455555555556
IND600044AAD,Chennai_Chrompet_DPC,103,2.3758064516129034,12.8072125,80.0591125
IND306401AAB,Pali_Nayagaon_I,94,2.0525991792065663,25.886256,73.430656
IND000000AFT,Mumbai_Sanpada_I,256,2.2857142857142856,19.258838918145436,74.7920972886798
IND396191AAC,Vapi_IndEstat_I,56,2.515873015873016,20.37908125,72.97254375
IND821115AAB,Sasaram_Central_I_2,80,2.057008547008546,25.1261,84.0255
IND125001AAA,Hisar_ModelTwn_P,73,2.1049009384775808,29.0755,75.7562
IND575004AAB,Mangalore_Kuntikna_H,57,2.1875,12.8382,75.2667
IND205001AAB,Mainpuri_Agraroad_I,47,2.25,27.229096666666667,79.00711000000001
IND411033AAA,Pune_Tathawde_H,733,1.9705882352941175,18.78136,74.93964
IND207302AAA,Jalesar_ChngiDPP_D,12,5.019807923169267,27.49510833333333,78.39029166666667
IND342902A1B,IND342902A1B,16,2.342391304347826,26.6863,73.72299000000001
IND530012AAA,Visakhapatnam_Gajuwaka_IP,138,2.0,17.8817,83.3409
IND829121AAA,Peterbar_GagiDPP_D,16,7.174603174603175,23.654770000000003,85.85531
IND585401AAA,Bidar,43,2.392229154849688,17.7648,77.2457
IND382430AAB,Ahmedabad_East_H_1,537,1.9482001755926253,22.7611,72.2477
